"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    a/a/a/c/a/a/a/e.java                                                                                                                                                                                                    a/a/a/c/c/f.java                                                                                                                                                                                                    a/a/b/d/e/useCase/WebSessionInteractor.java                                                                                                                                                                                                    a/a/b/d/tools/login/b/request/AuthorizationRequestHandler.java                                                                                                                                                                                                    a/a/c/a/h/b/managers/WebSessionReceiver.java                                                                                                                                                                                                    a/c/a/myuconnect/activity/base/MyDateChangingReceiver.java                                                                                                                                                                                                    a/g/a/a/as.java                                                                                                                                                                                                    a/g/a/a/cj.java                                                                                                                                                                                                    a/i/DunasysKit/BluetoothStateListener.java                                                                                                                                                                                                    c/b/a/r.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidSystemInfoService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/adobe/marketing/mobile/NotificationDismissalHandler.java                                                                                                                                                                                                    com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/receiver/DealerLinkReceiver.java                                                                                                                                                                                                    com/gigya/android/sdk/push/RemoteMessageLocalReceiver.java                                                                                                                                                                                                    com/salesforce/marketingcloud/MCReceiver.java                                                                                                                                                                                                    com/salesforce/marketingcloud/alarms/b.java                                                                                                                                                                                                    com/salesforce/marketingcloud/behaviors/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/http/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/location/LocationReceiver.java                                                                                                                                                                                                    com/salesforce/marketingcloud/location/h.java                                                                                                                                                                                                    com/salesforce/marketingcloud/messages/push/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/proximity/b.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/calendar/repository/CalendarRepository.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/linkanddrivebluetooth/service/receivers/SmartAudioConnectedBluetoothReceiver.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/interfaces/AVolumeRepository$getSystemVolumePercentageFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/handlers/GpsStatusHandler$startGpsStatusRoutine$createGpsStatusFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/BluetoothRepository$bluetoothEnabledFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/LocationRepository$locationEnabledFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/NfcRepository$isNfcEnabledFlow$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/nfc/NfcTagDiscoverer.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/view/widgets/TimeView$applyRoutine$1.java                                                                                                                                                                                                    org/eclipse/paho/android/service/AlarmPingSender.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttAndroidClient.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.SYSTEM_ALERT_WINDOW","dangerous","display system-level alerts","Allows an application to show system-alert windows. Malicious applications can take over the entire screen of the phone.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/afollestad/materialdialogs/internal/main/DialogLayout.java                                                                                                                                                                                                    com/bumptech/glide/request/target/CustomViewTarget.java                                                                                                                                                                                                    com/bumptech/glide/request/target/ViewTarget.java                                                                                                                                                                                                    com/journeyapps/barcodescanner/CameraPreview.java                                                                                                                                                                                                    com/journeyapps/barcodescanner/RotationListener.java"
"android.permission.USE_BIOMETRIC","normal","allows use of device-supported biometric modalities.","Allows an app to use device supported biometric modalities.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                a/c/a/myuconnect/activity/base/d$b$a.java                                                                                                                                                                                                    a/c/a/myuconnect/fragment/EnableFingerprintPinFragment.java                                                                                                                                                                                                    a/c/a/myuconnect/fragment/bg$c$a.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/LoginActivity$g$a.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/LoginActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity$d$a.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java"
"android.permission.USE_FINGERPRINT","normal","allow use of fingerprint","This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead.",""
"android.permission.VIBRATE","normal","control vibrator","Allows the application to control the vibrator.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/BoundaryMapActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/BoundaryMapActivityV2.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java"
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                a/a/a/c/a/a/c/a.java                                                                                                                                                                                                    a/a/a/c/c/b.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/application/FcaApplication.java                                                                                                                                                                                                    com/salesforce/marketingcloud/NotificationOpenedService.java                                                                                                                                                                                                    com/salesforce/marketingcloud/c.java                                                                                                                                                                                                    com/salesforce/marketingcloud/location/d.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/NotificationOpenActivity.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/CoreFacade.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/LocationRepository$locationFlow$2$1.java                                                                                                                                                                                                    org/eclipse/paho/android/service/AlarmPingSender.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttConnection.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            a/a/a/c/a/c/c.java                                                                                                                                                                                                    a/a/a/c/c/c.java                                                                                                                                                                                                    a/a/c/a/data/DataManager.java                                                                                                                                                                                                    a/c/a/myuconnect/security/a.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ai.java                                                                                                                                                                                                    c/a/http/cio/CIOMultipartDataBase.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidCompressedFileService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/RemoteDownloader.java                                                                                                                                                                                                    com/adobe/marketing/mobile/ZipBundleHandler.java                                                                                                                                                                                                    com/airbnb/lottie/network/NetworkCache.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotClientIdHelper.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotKeystoreHelper.java                                                                                                                                                                                                    com/bumptech/glide/disklrucache/DiskLruCache.java                                                                                                                                                                                                    com/bumptech/glide/load/model/StreamEncoder.java                                                                                                                                                                                                    com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/MemorizingTrustManager.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/conscrypt/TrustedCertificateStore.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/workers/DownloadWorker.java                                                                                                                                                                                                    com/gigya/android/sdk/GigyaLogger.java                                                                                                                                                                                                    com/gigya/android/sdk/ui/plugin/GigyaPluginFileChooser.java                                                                                                                                                                                                    com/github/barteksc/pdfviewer/util/FileUtils.java                                                                                                                                                                                                    com/github/mikephil/charting/charts/Chart.java                                                                                                                                                                                                    com/journeyapps/barcodescanner/CaptureManager.java                                                                                                                                                                                                    com/salesforce/marketingcloud/storage/f.java                                                                                                                                                                                                    com/salesforce/marketingcloud/tozny/AesCbcWithIntegrity.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/e.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/f.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/g.java                                                                                                                                                                                                    java/time/zone/TzdbZoneRulesCompiler.java                                                                                                                                                                                                    net/sqlcipher/database/SQLiteDatabase.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/conscrypt/FileClientSessionCache.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/persist/MqttDefaultFilePersistence.java                                                                                                                                                                                                    org/joda/time/tz/ZoneInfoCompiler.java"
"com.fca.myconnect.nafta.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                            com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/MainActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/MyFirebaseMessagingService.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/NotificationsTrayActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/SplashActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/WearableMessageListenerService.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/gigya/android/sdk/push/GigyaFirebaseMessagingService.java                                                                                                                                                                                                    com/salesforce/marketingcloud/MCService.java                                                                                                                                                                                                    com/salesforce/marketingcloud/messages/push/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/NotificationManager.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/b.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.gms.permission.AD_ID","normal","application shows advertisements","This app uses a Google advertising ID and can possibly serve advertisements.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/xtn/seapsdk/AdvertisingManager.java"
