NO,ISSUE,SEVERITY,DESCRIPTION,OPTIONS,app,source_path
10,"Broadcast Receiver (com.learnium.RNDeviceInfo.RNDeviceReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.INSTALL_PACKAGES [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.gm.buick.nomad.ownership,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/manifest_analysis.csv
11,Activity (androidx.biometric.DeviceCredentialHandlerActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/manifest_analysis.csv
12,Activity (com.microsoft.identity.client.CurrentTaskBrowserTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/manifest_analysis.csv
13,Activity (com.facebook.CustomTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.buick.nomad.ownership,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/manifest_analysis.csv
14,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.gm.buick.nomad.ownership,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/manifest_analysis.csv
15,High Intent Priority (10000) - {1} Hit(s)[android:priority],warning,"By setting an intent priority higher than another intent, the app effectively overrides other requests.",Suppression the rule high_intent_priority_found in com.gm.buick.nomad.ownership,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/manifest_analysis.csv
1,App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config],info,"The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.",Suppression the rule has_network_security in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
2,Service (com.gm.gemini.android_auto.GeminiCarActivityService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
3,App Link assetlinks.json file not found[android:name=com.gm.gemini.SplashActivity][android:host=https://my.chevrolet.com],high,"App Link asset verification URL (https://my.chevrolet.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
4,App Link assetlinks.json file not found[android:name=com.gm.gemini.SplashActivity][android:host=https://my.gm.com.mx],high,"App Link asset verification URL (https://my.gm.com.mx/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
5,App Link assetlinks.json file not found[android:name=com.gm.gemini.SplashActivity][android:host=https://my.gm.ca],high,"App Link asset verification URL (https://my.gm.ca/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 403). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
6,Activity (com.gm.gemini.MainActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
7,Broadcast Receiver (com.gm.gemini.VendorChannelConnectReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
8,Broadcast Receiver (com.gm.gemini.LocaleBackgroundReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
9,Activity (com.microsoft.identity.client.BrowserTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
10,"Broadcast Receiver (com.learnium.RNDeviceInfo.RNDeviceReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.INSTALL_PACKAGES [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
11,Activity (androidx.biometric.DeviceCredentialHandlerActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
12,Activity (com.microsoft.identity.client.CurrentTaskBrowserTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
13,Activity (com.facebook.CustomTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
14,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
15,High Intent Priority (10000) - {1} Hit(s)[android:priority],warning,"By setting an intent priority higher than another intent, the app effectively overrides other requests.",Suppression the rule high_intent_priority_found in com.gm.chevrolet.nomad.ownership,Chevrolet,/home/jovyan/work/SOEN 321/car_app_analysis/Chevrolet/manifest_analysis.csv
1,"App can be installed on a vulnerable unpatched Android versionAndroid 6.0-6.0.1, [minSdk=23]",high,"This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.",Suppression the rule vulnerable_os_version in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
2,Application Data can be Backed up[android:allowBackup=true],warning,This flag allows anyone to backup your application data via adb. It allows users who have enabled USB debugging to copy application data off of the device.,Suppression the rule app_allowbackup in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
3,App Link assetlinks.json file not found[android:name=com.uptodown.activities.MainActivity][android:host=https://www.uptodown.com],high,"App Link asset verification URL (https://www.uptodown.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
4,App Link assetlinks.json file not found[android:name=com.uptodown.activities.MainActivity][android:host=https://dw.uptodown.com],high,"App Link asset verification URL (https://dw.uptodown.com/.well-known/assetlinks.json) not found or configured incorrectly. (Status Code: 404). App Links allow users to redirect from a web URL/email to the mobile app. If this file is missing or incorrectly configured for the App Link host/domain, a malicious app can hijack such URLs. This may lead to phishing attacks, leak sensitive data in the URI, such as PII, OAuth tokens, magic link/password reset tokens and more. You must verify the App Link domain by hosting the assetlinks.json file and enabling verification via [android:autoVerify=""true""] in the Activity intent-filter.",Suppression the rule activity_well_known_assetlinks in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
5,Activity (com.uptodown.tv.ui.activity.TvMainActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
6,Activity (com.uptodown.core.activities.InstallerActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
7,Activity (com.uptodown.activities.SearchActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
8,Broadcast Receiver (com.uptodown.receivers.BootDeviceReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
9,Broadcast Receiver (com.uptodown.receivers.MyAppUpdatedReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
10,Broadcast Receiver (com.uptodown.receivers.DownloadNotificationReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
11,Broadcast Receiver (com.uptodown.receivers.DownloadUpdateNotificationReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
12,Activity (com.inmobi.cmp.presentation.components.CmpActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
13,Broadcast Receiver (org.matomo.sdk.extra.InstallReferrerReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
14,"Service (com.google.android.gms.auth.api.signin.RevocationBoundService) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
15,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
16,"Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
17,"Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
18,"Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
19,Broadcast Receiver (com.mbridge.msdk.foundation.same.broadcast.NetWorkChangeReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
20,High Intent Priority (999) - {17} Hit(s)[android:priority],warning,"By setting an intent priority higher than another intent, the app effectively overrides other requests.",Suppression the rule high_intent_priority_found in com.uptodown,Ford,/home/jovyan/work/SOEN 321/car_app_analysis/Ford/manifest_analysis.csv
1,"App can be installed on a vulnerable unpatched Android versionAndroid 6.0-6.0.1, [minSdk=23]",high,"This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.",Suppression the rule vulnerable_os_version in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
2,Clear text traffic is Enabled For App[android:usesCleartextTraffic=true],high,"The app intends to use cleartext network traffic, such as cleartext HTTP, FTP stacks, DownloadManager, and MediaPlayer. The default value for apps that target API level 27 or lower is ""true"". Apps that target API level 28 or higher default to ""false"". The key reason for avoiding cleartext traffic is the lack of confidentiality, authenticity, and protections against tampering; a network attacker can eavesdrop on transmitted data and also modify it without being detected.",Suppression the rule clear_text_traffic in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
3,App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config],info,"The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.",Suppression the rule has_network_security in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
4,Service (com.honda.common.module.gdo.services.GDOHondaCarService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
5,Activity (com.honda.common.module.general.view.activity.GetStartedActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
6,Broadcast Receiver (com.honda.common.module.microserver.braodcastreciever.BluetoothConnectionReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
7,Broadcast Receiver (com.honda.common.module.microserver.braodcastreciever.BluetoothStateChangeReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
8,Activity (com.honda.common.module.dtcu.enrollment.dealernew.view.activity.NewDealerEnrollmentWelcomeActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
9,Broadcast Receiver (com.honda.common.module.gdo.receivers.BootReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
10,Activity (com.facebook.CustomTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
11,"Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.BIND_JOB_SERVICE [android:exported=true]",warning,"A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule service_exported_protected_permission_not_defined in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
12,"Broadcast Receiver (androidx.work.impl.diagnostics.DiagnosticsReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
13,"Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: com.google.android.c2dm.permission.SEND [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
14,"Broadcast Receiver (androidx.profileinstaller.ProfileInstallReceiver) is Protected by a permission, but the protection level of the permission should be checked.Permission: android.permission.DUMP [android:exported=true]",warning,"A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.",Suppression the rule receiver_exported_protected_permission_not_defined in com.honda.hondalink.connect,Honda,/home/jovyan/work/SOEN 321/car_app_analysis/Honda/manifest_analysis.csv
1,"App can be installed on a vulnerable Android versionAndroid 9, minSdk=28]",warning,"This application can be installed on an older version of android that has multiple vulnerabilities. Support an Android version => 10, API 29 to receive reasonable security updates.",Suppression the rule vulnerable_os_version2 in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
2,App has a Network Security Configuration[android:networkSecurityConfig=@xml/network_security_config],info,"The Network Security Configuration feature lets apps customize their network security settings in a safe, declarative configuration file without modifying app code. These settings can be configured for specific domains and for a specific app.",Suppression the rule has_network_security in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
3,Broadcast Receiver (com.fcagroup.global.myuconnect.receiver.DealerLinkReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
4,Service (com.fcagroup.global.myuconnect.services.WearableMessageListenerService) is not Protected. [android:exported=true],warning,A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule service_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
5,Activity (com.fcagroup.global.myuconnect.activity.ShareActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
6,TaskAffinity is set for activity (com.salesforce.marketingcloud.notifications.NotificationOpenActivity),warning,"If taskAffinity is set, then other application could read the Intents sent to Activities belonging to another task. Always use the default setting keeping the affinity as the package name in order to prevent sensitive information inside sent or received Intents from being read by another application.",Suppression the rule activity_task_affinity_set in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
7,Broadcast Receiver (com.stellantis.smartphonestation.feature.linkanddrivebluetooth.service.receivers.SmartAudioConnectedBluetoothReceiver) is not Protected. [android:exported=true],warning,A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule receiver_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
8,Activity (com.facebook.CustomTabActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
9,Activity (com.inetpsa.pims.basicauthentication.manager.WebSessionResponseActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
10,Activity (net.openid.appauth.RedirectUriReceiverActivity) is not Protected. [android:exported=true],warning,An Activity is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.,Suppression the rule activity_explicitly_exported in com.fca.myconnect.nafta,Jeep,/home/jovyan/work/SOEN 321/car_app_analysis/Jeep/manifest_analysis.csv
