"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.UWB_RANGING","dangerous","required for ranging to devices using ultra-wideband.","Required to be able to range to devices using ultra-wideband.",""
"android.permission.VIBRATE","normal","control vibrator","Allows the application to control the vibrator.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/fourthline/orca/internal/AbstractC3652s4.java                                                                                                                                                                                                    expo/modules/haptics/HapticsModule.java                                                                                                                                                                                                    org/godotengine/godot/Godot.java                                                                                                                                                                                                    zt/d.java                                                                                                                                                                                                    zt/e.java                                                                                                                                                                                                    zt/f.java"
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                atd/aa/getSDKEphemeralPublicKey.java                                                                                                                                                                                                    atd/aw/BuildConfig.java                                                                                                                                                                                                    bl/c.java                                                                                                                                                                                                    bu/u0.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/brentvatne/react/b.java                                                                                                                                                                                                    com/fourthline/core/location/internal/LocationFetcherImpl.java                                                                                                                                                                                                    com/fourthline/orca/internal/Kw.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/webview/l.java                                                                                                                                                                                                    com/reactnativecompressor/Video/a.java                                                                                                                                                                                                    com/rnmaps/maps/b.java                                                                                                                                                                                                    com/tencent/mm/opensdk/openapi/WXAPiSecurityHelper.java                                                                                                                                                                                                    com/tesla/dashcam_viewer/u0.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/Peripheral.java                                                                                                                                                                                                    com/tradle/react/UdpSockets.java                                                                                                                                                                                                    com/withpersona/sdk2/camera/camera2/Camera2Manager.java                                                                                                                                                                                                    com/zmxv/RNSound/RNSoundModule.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/InCallManagerModule.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/l.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/m.java                                                                                                                                                                                                    expo/modules/location/LocationHelpers.java                                                                                                                                                                                                    expo/modules/location/LocationModule$definition$lambda$27$$inlined$AsyncFunctionWithPromise$5.java                                                                                                                                                                                                    expo/modules/location/LocationModule$definition$lambda$27$$inlined$Coroutine$13.java                                                                                                                                                                                                    expo/modules/location/LocationModule.java                                                                                                                                                                                                    expo/modules/location/taskConsumers/LocationTaskConsumer.java                                                                                                                                                                                                    fm/b.java                                                                                                                                                                                                    he0/a.java                                                                                                                                                                                                    i6/a.java                                                                                                                                                                                                    io/sentry/u1.java                                                                                                                                                                                                    o7/y.java                                                                                                                                                                                                    org/godotengine/godot/GodotIO.java                                                                                                                                                                                                    org/godotengine/godot/utils/GodotNetUtils.java                                                                                                                                                                                                    org/webrtc/AndroidVideoDecoder.java                                                                                                                                                                                                    org/webrtc/HardwareVideoEncoder.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java                                                                                                                                                                                                    tb0/d.java                                                                                                                                                                                                    v/c3.java                                                                                                                                                                                                    v/q4.java                                                                                                                                                                                                    xh0/d.java                                                                                                                                                                                                    zl/l1.java"
"android.permission.WRITE_CALENDAR","dangerous","add or modify calendar events and send emails to guests","Allows an application to add or change the events on your calendar, which may send emails to guests. Malicious applications can use this to erase or modify your calendar events or to send emails to guests.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    cb/c.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/e.java                                                                                                                                                                                                    com/alipay/android/phone/mrpc/core/b.java                                                                                                                                                                                                    com/releaseprofiler/ReleaseProfilerModule.java                                                                                                                                                                                                    e0/z.java                                                                                                                                                                                                    expo/modules/calendar/CalendarModule.java                                                                                                                                                                                                    expo/modules/medialibrary/assets/CreateAsset.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        a40/a.java                                                                                                                                                                                                    af/c.java                                                                                                                                                                                                    ar/c.java                                                                                                                                                                                                    atd/an/getSDKEphemeralPublicKey.java                                                                                                                                                                                                    c60/j.java                                                                                                                                                                                                    cb/c.java                                                                                                                                                                                                    ch/qos/logback/core/recovery/ResilientFileOutputStream.java                                                                                                                                                                                                    ch/qos/logback/core/rolling/helper/Compressor.java                                                                                                                                                                                                    ch/qos/logback/core/util/FileUtil.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/a.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/c.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/e.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/h.java                                                                                                                                                                                                    com/bumptech/glide/load/resource/bitmap/c.java                                                                                                                                                                                                    com/fourthline/adapters/common/FourthlineOutputProcessor.java                                                                                                                                                                                                    com/fourthline/adapters/kyc/BitmapSaverImpl.java                                                                                                                                                                                                    com/fourthline/adapters/serialization/BitmapSerializer.java                                                                                                                                                                                                    com/fourthline/kyc/internal/l.java                                                                                                                                                                                                    com/fourthline/nfc/internal/G.java                                                                                                                                                                                                    com/fourthline/orca/internal/AD.java                                                                                                                                                                                                    com/fourthline/orca/internal/C3029de.java                                                                                                                                                                                                    com/fourthline/orca/internal/C3776v5.java                                                                                                                                                                                                    com/fourthline/orca/internal/ZA.java                                                                                                                                                                                                    com/reactlibrary/createthumbnail/CreateThumbnailModule.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/h.java                                                                                                                                                                                                    com/reactnativedocumentpicker/RNDocumentPickerModule.java                                                                                                                                                                                                    com/releaseprofiler/ReleaseProfilerModule.java                                                                                                                                                                                                    com/rnfs/c.java                                                                                                                                                                                                    com/rnmaps/maps/MapModule.java                                                                                                                                                                                                    com/rnmaps/maps/MapTileWorker.java                                                                                                                                                                                                    com/rnmaps/maps/a.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/OwnerApiModuleNativeModule.java                                                                                                                                                                                                    com/withpersona/sdk2/camera/camera2/Camera2Manager.java                                                                                                                                                                                                    dq/d.java                                                                                                                                                                                                    e0/f0.java                                                                                                                                                                                                    e0/y.java                                                                                                                                                                                                    e80/u.java                                                                                                                                                                                                    eu/g.java                                                                                                                                                                                                    expo/modules/asset/AssetModule$downloadAsset$2.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$definition$lambda$48$$inlined$AsyncFunction$17.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$definition$lambda$48$$inlined$AsyncFunction$19.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$downloadResumableTask$2.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule.java                                                                                                                                                                                                    expo/modules/imagepicker/ImagePickerUtilsKt$copyFile$2.java                                                                                                                                                                                                    expo/modules/imagepicker/exporters/CompressionImageExporter$writeImage$2.java                                                                                                                                                                                                    expo/modules/medialibrary/MediaLibraryUtils.java                                                                                                                                                                                                    expo/modules/medialibrary/assets/CreateAsset.java                                                                                                                                                                                                    expo/modules/videothumbnails/VideoThumbnailsModule$definition$lambda$4$lambda$2$$inlined$withModuleScope$1.java                                                                                                                                                                                                    fr/greweb/reactnativeviewshot/a.java                                                                                                                                                                                                    g60/b.java                                                                                                                                                                                                    he/v.java                                                                                                                                                                                                    hq/e.java                                                                                                                                                                                                    i80/i.java                                                                                                                                                                                                    i90/a.java                                                                                                                                                                                                    ib/u.java                                                                                                                                                                                                    io/realm/g0.java                                                                                                                                                                                                    io/sentry/android/core/cache/b.java                                                                                                                                                                                                    io/sentry/android/core/y0.java                                                                                                                                                                                                    io/sentry/android/replay/g.java                                                                                                                                                                                                    io/sentry/cache/b.java                                                                                                                                                                                                    io/sentry/cache/c.java                                                                                                                                                                                                    io/sentry/cache/e.java                                                                                                                                                                                                    io/sentry/o3.java                                                                                                                                                                                                    k90/b0.java                                                                                                                                                                                                    ka0/x.java                                                                                                                                                                                                    kd/a.java                                                                                                                                                                                                    l80/GovernmentIdAnalyzeWorker.java                                                                                                                                                                                                    l80/g.java                                                                                                                                                                                                    lf/a.java                                                                                                                                                                                                    mg0/j.java                                                                                                                                                                                                    oc0/a.java                                                                                                                                                                                                    okio/j0.java                                                                                                                                                                                                    org/webrtc/VideoFileRenderer.java                                                                                                                                                                                                    ov/a.java                                                                                                                                                                                                    pk/a.java                                                                                                                                                                                                    q8/c.java                                                                                                                                                                                                    qt/a.java                                                                                                                                                                                                    r8/c.java                                                                                                                                                                                                    ss/c.java                                                                                                                                                                                                    ta0/b.java                                                                                                                                                                                                    tb/g.java                                                                                                                                                                                                    td/o.java                                                                                                                                                                                                    u7/f.java                                                                                                                                                                                                    u7/g.java                                                                                                                                                                                                    v50/h.java                                                                                                                                                                                                    v80/o.java                                                                                                                                                                                                    xh0/b.java                                                                                                                                                                                                    yd/b.java                                                                                                                                                                                                    z6/a.java                                                                                                                                                                                                    z90/t.java                                                                                                                                                                                                    z90/v.java"
"android.permission.WRITE_SETTINGS","dangerous","modify global system settings","Allows an application to modify the system's settings data. Malicious applications can corrupt your system's configuration.",""
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/wix/reactnativenotifications/i.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.gms.permission.AD_ID","normal","application shows advertisements","This app uses a Google advertising ID and can possibly serve advertisements.",""
"com.google.android.providers.gsf.permission.READ_GSERVICES","unknown","Unknown permission","Unknown permission from android reference",""
"com.teslamotors.tesla.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
